sensor_id,avg_temp,rank_temp
1066,29.852499999999996,1
1076,28.573076923076925,2
1027,28.484615384615385,3
1020,28.14272727272727,4
1033,28.068,5
1096,27.730909090909087,6
1004,27.670769230769224,7
1007,27.66333333333333,8
1085,27.589999999999996,9
1070,27.559999999999995,10
1090,27.428000000000004,11
1018,27.403333333333325,12
1097,27.312500000000004,13
1040,27.283571428571427,14
1010,27.098999999999997,15
1075,27.075714285714287,16
1047,27.075,17
1024,27.02,18
1087,26.958999999999996,19
1060,26.95777777777778,20
1015,26.758888888888887,21
1032,26.725384615384616,22
1048,26.707,23
1008,26.66222222222222,24
1028,26.595555555555556,25
1031,26.511999999999993,26
1036,26.479999999999997,27
1009,26.360625,28
1001,26.346363636363638,29
1053,26.337142857142858,30
1088,26.290000000000003,31
1067,26.245555555555555,32
1095,26.157500000000002,33
1086,26.112857142857145,34
1089,26.08933333333333,35
1051,26.067499999999995,36
1038,25.984999999999996,37
1013,25.9025,38
1073,25.90125,39
1077,25.856923076923074,40
1006,25.834999999999997,41
1039,25.80909090909091,42
1026,25.748749999999994,43
1046,25.724999999999998,44
1061,25.724545454545456,45
1074,25.66,46
1000,25.592,47
1091,25.53076923076923,48
1083,25.440666666666665,49
1081,25.43,50
1005,25.37625,51
1021,25.255454545454544,52
1099,25.126,53
1055,25.088181818181816,54
1025,24.997142857142855,55
1043,24.946428571428573,56
1034,24.896,57
1071,24.78555555555555,58
1052,24.764444444444447,59
1100,24.603999999999996,60
1057,24.584615384615383,61
1014,24.51857142857143,62
1049,24.482222222222223,63
1016,24.464545454545455,64
1017,24.435833333333335,65
1054,24.307777777777776,66
1064,24.12,67
1098,24.08428571428572,68
1072,24.050000000000004,69
1022,24.002499999999998,70
1012,24.00133333333333,71
1037,23.967999999999996,72
1065,23.947499999999998,73
1056,23.93111111111111,74
1050,23.874285714285715,75
1002,23.858333333333334,76
1068,23.832727272727276,77
1030,23.793750000000003,78
1019,23.74411764705882,79
1094,23.738571428571426,80
1035,23.652000000000005,81
1045,23.641111111111112,82
1011,23.55666666666666,83
1093,23.471666666666668,84
1003,23.46,85
1058,23.440769230769227,86
1079,23.424,87
1063,23.24666666666667,88
1078,23.207272727272727,89
1082,23.158125,90
1092,23.086999999999996,91
1059,22.99285714285714,92
1041,22.961111111111112,93
1062,22.828333333333333,94
1044,22.576,95
1023,22.51,96
1084,22.32066666666667,97
1042,22.1825,98
1029,21.662857142857142,99
1069,21.448333333333334,100
1080,20.775555555555556,101
